Year,State,Households,Persons,TotalCost,MCost,BCost,CostPerHousehold,CostPerPerson,MPersons,Region
2000,Alabama,"156,105","396,057","$343,735,258 ",343.74,0.34,183.5,72.32,0.396057167,SERO
2000,Alaska,"13,208","37,524","$45,834,562 ",45.83,0.05,289.18,101.79,0.037524333,WRO
2000,Arizona,"95,568","259,003","$240,245,624 ",240.25,0.24,209.49,77.3,0.259002583,SWRO
2000,Arkansas,"98,764","246,572","$206,236,378 ",206.24,0.21,174.01,69.7,0.2465715,SWRO
2000,California,"672,007","1,830,677","$1,639,332,967 ","1,639.33",1.64,203.29,74.62,1.830676583,WRO
2000,Colorado,"69,951","155,948","$126,585,277 ",126.59,0.13,150.8,67.64,0.155948167,MPRO
2000,Connecticut,"84,016","165,059","$138,008,106 ",138.01,0.14,136.89,69.68,0.165058583,NERO
2000,Delaware,"13,463","32,218","$31,126,762 ",31.13,0.03,192.67,80.51,0.0322175,MARO
2000,District of Columbia,"36,194","80,803","$76,672,281 ",76.67,0.08,176.53,79.07,0.080803083,MARO
2000,Florida,"415,788","882,341","$771,225,218 ",771.23,0.77,154.57,72.84,0.882341,SERO
2000,Georgia,"229,500","559,468","$488,888,524 ",488.89,0.49,177.52,72.82,0.559467917,SERO
2000,Guam,"6,718","22,234","$35,880,315 ",35.88,0.04,445.05,134.48,0.022233667,WRO
2000,Hawaii,"54,212","118,041","$166,259,882 ",166.26,0.17,255.57,117.37,0.11804125,WRO
2000,Idaho,"23,174","58,191","$46,163,882 ",46.16,0.05,166,66.11,0.058190833,WRO
2000,Illinois,"356,149","816,571","$777,031,218 ",777.03,0.78,181.81,79.3,0.816570917,MWRO
2000,Indiana,"127,875","300,314","$268,121,224 ",268.12,0.27,174.73,74.4,0.300314167,MWRO
2000,Iowa,"52,548","123,322","$100,182,582 ",100.18,0.1,158.87,67.7,0.123321833,MWRO
2000,Kansas,"53,346","116,511","$82,700,978 ",82.7,0.08,129.19,59.15,0.116511167,MPRO
2000,Kentucky,"167,971","403,479","$336,743,372 ",336.74,0.34,167.06,69.55,0.40347875,SERO
2000,Louisiana,"191,891","499,851","$448,096,963 ",448.1,0.45,194.6,74.71,0.499850583,SWRO
